Unnamed: 0,No.,Material,Diameter (nm),Zeta potential (mV),Cell_type,Cancer_cell,Concentration (g/L),Viability (%),Coat,Animal,Cell_organ,Test,Electronegativity,dataset
1727,ID_1877,SiO2,100.0,-35.9,HaCat,No,0.04,28.7,Uncoated,human,skin,CCK-8,2.93,Small
1728,ID_1878,SiO2,30.0,-35.9,HaCat,No,0.04,22.12,Uncoated,human,skin,CCK-8,2.93,Small
1729,ID_1879,SiO2,19.1,-35.9,L-132,Yes,0.5,31.88,Uncoated,human,lung,MTT,2.93,Small
1730,ID_1880,SiO2,18.3,-35.9,SIRC,No,0.1,93.57,Uncoated,rabbit,cornea,MTT,2.93,Small
1731,ID_1881,SiO2,30.0,-35.9,HaCat,No,0.02,74.77,Uncoated,human,skin,CCK-8,2.93,Small
1732,ID_1882,SiO2,15.0,-35.9,HaCat,No,0.02,30.71,Uncoated,human,skin,CCK-8,2.93,Small
1733,ID_1883,SiO2,100.0,-35.9,HaCat,No,0.02,93.97,Uncoated,human,skin,CCK-8,2.93,Small
1734,ID_1884,SiO2,59.72,-35.9,A549,Yes,0.5,15.72,Uncoated,human,lung,MTT,2.93,Small
1735,ID_1885,SiO2,30.0,-35.9,HaCat,No,0.01,91.59,Uncoated,human,skin,CCK-8,2.93,Small
1736,ID_1886,SiO2,10.0,-35.9,RAW 264.7,Yes,1.0,44.26,Uncoated,mouse,ascites,Live/Dead,2.93,Small
1737,ID_1887,SiO2,19.1,-35.9,L-132,Yes,0.3,47.09,Uncoated,human,lung,MTT,2.93,Small
1738,ID_1888,SiO2,20.0,-35.9,HFL1,No,0.5,64.8,Uncoated,human,lung,MTT,2.93,Small
1739,ID_1889,SiO2,14.23,-35.9,HepG2,Yes,0.001,96.71,Uncoated,human,liver,NRU,2.93,Small
1740,ID_1890,SiO2,14.23,-35.9,HepG2,Yes,0.2,55.26,Uncoated,human,liver,MTT,2.93,Small
1741,ID_1891,SiO2,14.23,-35.9,HepG2,Yes,0.1,63.82,Uncoated,human,liver,MTT,2.93,Small
1742,ID_1892,SiO2,14.23,-35.9,HepG2,Yes,0.05,71.32,Uncoated,human,liver,MTT,2.93,Small
1743,ID_1893,SiO2,14.23,-35.9,HepG2,Yes,0.025,79.34,Uncoated,human,liver,MTT,2.93,Small
1744,ID_1894,SiO2,15.0,-35.9,HaCat,No,0.005,89.58,Uncoated,human,skin,CCK-8,2.93,Small
1745,ID_1895,SiO2,30.0,-35.9,HaCat,No,0.005,94.7,Uncoated,human,skin,CCK-8,2.93,Small
1746,ID_1896,SiO2,14.23,-35.9,HepG2,Yes,0.005,95.0,Uncoated,human,liver,MTT,2.93,Small
1747,ID_1897,SiO2,14.23,-35.9,HepG2,Yes,0.001,96.84,Uncoated,human,liver,MTT,2.93,Small
1748,ID_1898,SiO2,15.0,-35.9,A549,Yes,0.2,44.99,Uncoated,human,lung,MTT,2.93,Small
1749,ID_1899,SiO2,14.23,-35.9,HepG2,Yes,0.025,78.33,Uncoated,human,liver,NRU,2.93,Small
1750,ID_1900,SiO2,14.23,-35.9,HepG2,Yes,0.05,71.61,Uncoated,human,liver,NRU,2.93,Small
1751,ID_1901,SiO2,14.23,-35.9,HepG2,Yes,0.1,65.02,Uncoated,human,liver,NRU,2.93,Small
1752,ID_1902,SiO2,19.1,-35.9,THP-1,Yes,0.05,71.33,Uncoated,human,blood,MTT,2.93,Small
1753,ID_1903,SiO2,19.1,-35.9,THP-1,Yes,0.1,47.32,Uncoated,human,blood,MTT,2.93,Small
